uipath_activity,uipath_type,power_automate_desktop_action,aa360_action,difficulty,notes,complex_handling
Sequence,container,BLOCK:Subflow,Step,Low,Logical grouping container,
Main Sequence,container,BLOCK:Subflow,Start Bot,Low,Main workflow container,
If,decision,Conditionals.If,If Condition,Medium,Standard conditional logic,
Flow Decision,decision,Conditionals.If,If Condition,Medium,Flowchart decision,
Switch,decision,Conditionals.Switch,Switch Case,Medium,Multiple condition switch,
Flow Switch,decision,Conditionals.Switch,Switch Case,Medium,Flowchart switch,
ForEachRow,loop,Loops.ForEach,Loop - For Each,Medium,Very common Excel loop,
For Each,loop,Loops.ForEach,Loop - For Each,Medium,Generic collection loop,
While,loop,Loops.Loop,While Loop,Medium,Condition based loop,
Do While,loop,Loops.Loop,Do While Loop,Medium,Post condition loop,
Assign,data,Variables.SetVariable,Variable Operation,Low,Simple assignment,
Assign (Split Name),data,System.SetEnvironmentVariable,String Operation + Variable,High,One Assign doing split needs multiple PAD actions,
LogMessage,logging,File.WriteText,Log To File,Low,Write log content silently to a configurable file using append mode,
WriteLine,logging,File.WriteText,Log To File,Low,Write output text silently to a configurable file using append mode,
Delay,control_flow,FlowControl.Wait,Delay,Low,Direct mapping,
OpenBrowser,ui_automation,WebAutomation.LaunchChrome.LaunchChrome,Open Browser,High,Needs selector strategy,
UseBrowser,ui_automation,WebAutomation.LaunchChrome.AttachToForegroundChrome,Open Browser,High,Modern browser activity,
Click,ui_action,UIAutomation.Click.Click,Click,High,Requires good selector mapping,
TypeInto,ui_action,UIAutomation.PopulateTextField.PopulateTextField,Set Text,High,Input field automation,
ReadRange,excel,Excel.ReadFromExcel.ReadAllCells,Excel Advanced: Get all details,Medium,Modern Excel vs Classic,
WriteCell,excel,Excel.WriteToExcel.Write,Excel - Set Cell,Medium,Write back to Excel,
UseExcelFile,excel,Excel.LaunchExcel.LaunchAndOpen,Excel - Open,Medium,Modern Excel activity,
SendSMTPMail,email,Email.SendEmail.AuthenticateAndSend,Send Email,Low,Direct mapping,
InvokeWorkflowFile,invoke,FlowControl.RunSubflow,Execute Task / Run Bot,Medium,Create subflow and link,
TryCatch,container,ErrorHandling.BeginException,Try-Catch Block,High,Error handling mapping,
Throw,action,FlowControl.ThrowError,Throw Exception,Medium,Exception throwing,
Parallel,container,COMMENT,Parallel Execution,High,Rare in desktop flows,
StateMachine,container,BLOCK:StateMachine,State Machine (Custom),Very High,Usually converted to Switch,
InitAllSettings,workflow,FlowControl.RunSubflow,Execute Task - InitAllSettings,Medium,REFramework standard,
GetTransactionData,workflow,FlowControl.RunSubflow,Execute Task - GetTransactionData,Medium,REFramework standard,
Process,workflow,FlowControl.RunSubflow,Execute Task - Process,Medium,REFramework standard,
SetTransactionStatus,workflow,FlowControl.RunSubflow,Execute Task - SetTransactionStatus,Medium,REFramework standard,
TakeScreenshot,workflow,Workstation.TakeScreenshot.TakeScreenshot,Capture Image,Low,REFramework exception handling,
KillAllProcesses,workflow,System.TerminateProcess.TerminateProcessById,Kill Process,Low,REFramework cleanup,
CloseAllApplications,workflow,UIAutomation.CloseWindow.Close,Kill Process / Close Window,Medium,REFramework cleanup,
GetQueueItems,orchestrator,WorkQueues.GetWorkQueueItems,Get Queue Items,Medium,Direct Orchestrator integration,
AddQueueItem,orchestrator,WorkQueues.GetWorkQueueItems,Add Queue Item,Medium,Direct Orchestrator integration,
PostponeTransaction,orchestrator,COMMENT,Postpone Queue Item,High,Postpone Orchestrator queue transaction,
Get Asset,orchestrator,COMMENT,Get Credential / Get Asset,Medium,Credential retrieval,
Set Asset,orchestrator,COMMENT,Set Asset,Medium,Credential storage,
CustomReportGenerator,unknown,Manual Review Required,Manual Review Required,High,Unknown custom activity,
AIExtractData,unknown,Folder.Copy,Manual Review Required,High,AI activity mapping,
LegacyTerminalConnect,unknown,TerminalEmulation.FindTextFromTerminalSession,Manual Review Required,High,Legacy terminal activity,
UseApplicationBrowser,ui_automation,WebAutomation.LaunchChrome.AttachToForegroundChrome,Open Browser,High,Modern browser activity,
Graph API,api,Web.InvokeWebService.InvokeWebService,HTTP Request,Medium,Microsoft Graph calls,
